latitude,longitude,elevation,utc_offset_seconds,timezone,timezone_abbreviation,
51.100006,3.699997,14,7200,Europe/Berlin,CEST,
,,,,,,
time,shortwave_radiation (W/m²),direct_radiation (W/m²),diffuse_radiation (W/m²),direct_normal_irradiance (W/m²),windspeed_10m (km/h),windspeed_100m (km/h)
2013-01-01T00:00,0,0,0,0,31.8,51.5
2013-01-01T01:00,0,0,0,0,30.1,48.8
2013-01-01T02:00,0,0,0,0,29.7,48
2013-01-01T03:00,0,0,0,0,28.1,45.6
2013-01-01T04:00,0,0,0,0,24.3,40
2013-01-01T05:00,0,0,0,0,21.8,36.4
2013-01-01T06:00,0,0,0,0,20.2,33.8
2013-01-01T07:00,0,0,0,0,19.4,32.6
2013-01-01T08:00,0,0,0,0,17.8,30.8
2013-01-01T09:00,0,0,0,0,16.7,28.9
2013-01-01T10:00,0,0,0,0,16.1,27.6
2013-01-01T11:00,7,0,7,0,17,28.8
2013-01-01T12:00,30,0,30,0,17.5,28.6
2013-01-01T13:00,67,18,49,29.9,16.4,27.4
2013-01-01T14:00,141,66,75,152,16.4,27.3
2013-01-01T15:00,180,120,60,356.8,17.1,27.5
2013-01-01T16:00,145,84,61,432.6,17,27.2
2013-01-01T17:00,80,40,40,341,14.4,25.2
2013-01-01T18:00,15,6,9,95.7,13.2,25.3
2013-01-01T19:00,0,0,0,0,14.2,27
2013-01-01T20:00,0,0,0,0,13.8,26.5
2013-01-01T21:00,0,0,0,0,14.2,27.6
2013-01-01T22:00,0,0,0,0,14.7,28.4
2013-01-01T23:00,0,0,0,0,15.1,29.1
2013-01-02T00:00,0,0,0,0,15.7,30.4
2013-01-02T01:00,0,0,0,0,15,29.2
2013-01-02T02:00,0,0,0,0,13.5,26.8
2013-01-02T03:00,0,0,0,0,14.1,28
2013-01-02T04:00,0,0,0,0,14.2,27.2
2013-01-02T05:00,0,0,0,0,12.8,25.6
2013-01-02T06:00,0,0,0,0,12.3,25.2
2013-01-02T07:00,0,0,0,0,12.5,25.2
2013-01-02T08:00,0,0,0,0,11.4,23.5
2013-01-02T09:00,0,0,0,0,10.5,22
2013-01-02T10:00,0,0,0,0,10.2,22
2013-01-02T11:00,30,14,16,0,10.8,21.1
2013-01-02T12:00,88,36,52,202.2,11.8,20.6
2013-01-02T13:00,146,68,78,244.8,14.3,20.2
2013-01-02T14:00,174,86,88,308.1,13.6,21.6
2013-01-02T15:00,138,43,95,247.2,14.3,21.9
2013-01-02T16:00,57,3,54,83,13.5,22
2013-01-02T17:00,25,0,25,1.6,13.4,23.1
